_id,Incident Type,Date & Time Occurred Start,Date & Time Occurred End,Criminal Offense,Date & Time Reported,Location,Common Name,Disposition
2014-00000843,Theft,"May 16, 2014 at 6:00:00 PM","May 18, 2014 at 12:00:00 PM",Theft Over $500,"May 25, 2014 at 4:18:25 PM",2245 SHERIDAN RD,Sargent Hall,Open
2014-00000844,"Accident, personal injury","May 25, 2014 at 4:23:00 PM","May 25, 2014 at 4:40:00 PM","
","May 25, 2014 at 4:34:09 PM",1823 CAMPUS DR,Boat House,Closed
2014-00000845,General assistance,"May 25, 2014 at 5:52:00 PM","May 25, 2014 at 6:30:00 PM","Aggravated Kidnapping
Robbery","May 25, 2014 at 5:57:48 PM",1201 DAVIS ST,,Open
2014-00000846,Theft,"May 24, 2014 at 3:00:00 PM","May 24, 2014 at 6:00:00 PM",Theft $500 and Under,"May 26, 2014 at 3:10:00 PM",2100 SHERIDAN RD,,Open
2014-00000847,Public Service,"May 26, 2014 at 6:40:00 PM","May 26, 2014 at 7:00:00 PM",,"May 26, 2014 at 6:46:50 PM",630 EMERSON ST,Hobart House,Closed
2014-00000848,Drunkeness,"May 26, 2014 at 11:01:00 PM","May 26, 2014 at 11:21:00 PM",Illegal Consumption by Minor,"May 26, 2014 at 11:18:12 PM",600 UNIVERSITY PL,,Referred
2014-00000851,Public Service,"May 27, 2014 at 10:25:00 AM","May 27, 2014 at 10:30:00 AM",,"May 27, 2014 at 10:37:51 AM",1860 CAMPUS DR,Crowe Hall,Closed
2014-00000854,Service to Other Agency,"May 28, 2014 at 10:33:00 AM","May 28, 2014 at 10:45:00 AM",,"May 28, 2014 at 10:33:02 AM",2122 ORRINGTON AVE,,Closed
2014-00000855,Fire Call,"May 28, 2014 at 11:52:00 AM","May 28, 2014 at 11:52:00 AM",,"May 28, 2014 at 12:10:20 PM",1927 ORRINGTON AVE,Foster/Walker,Closed
2014-00000856,Theft,"May 21, 2014 at 5:00:00 PM","May 22, 2014 at 12:00:00 PM",Theft $500 and Under,"May 28, 2014 at 2:21:21 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000857,Public Contact,"May 28, 2014 at 9:26:00 PM","May 28, 2014 at 10:05:00 PM",,"May 28, 2014 at 9:40:22 PM",601 UNIVERSITY PL,Scott Hall,Closed
2014-00000858,Public Contact,"May 29, 2014 at 3:30:00 AM","May 29, 2014 at 4:05:00 AM",,"May 29, 2014 at 3:53:48 AM",2400 SHERIDAN RD,Elder Hall,Closed
2014-00000859,Theft,"May 28, 2014 at 8:00:00 AM","May 28, 2014 at 1:50:00 PM",Theft $500 and Under,"May 29, 2014 at 2:28:37 PM",1838 CHICAGO AVE,PARC Hall,Closed
2014-00000860,Theft,"May 20, 2014 at 9:00:00 AM","May 29, 2014 at 2:30:00 PM",Theft $500 and Under,"May 29, 2014 at 2:41:10 PM",1725 ORRINGTON AVE,McManus Living Center,Closed
2014-00000862,Hit and Run,"May 29, 2014 at 8:50:00 PM","May 29, 2014 at 9:02:00 PM",Hit and Run,"May 29, 2014 at 9:02:16 PM",1501 CENTRAL ST,Ryan Field,Open
2014-00000863,Security Building,"May 30, 2014 at 1:27:00 AM","May 30, 2014 at 2:30:00 AM",,"May 30, 2014 at 1:52:45 AM",2170 CAMPUS DR,,Closed
2014-00000864,Public Service,"May 30, 2014 at 1:30:00 AM","May 30, 2014 at 1:40:00 AM",,"May 30, 2014 at 1:54:18 AM",1936 MAPLE AVE,,Closed
2014-00000865,Suspicious Circumstances,"May 30, 2014 at 3:13:00 AM","May 30, 2014 at 3:45:00 AM",Burglary,"May 30, 2014 at 3:21:58 AM",1811 SHERIDAN RD,,Closed
2014-00000866,Larceny - theft,"May 30, 2014 at 9:00:00 AM","May 30, 2014 at 10:15:00 AM",Theft Over $500,"May 30, 2014 at 12:53:16 PM",2235 CAMPUS DR,,Unfounded
2014-00000868,Fraudulent activities,"May 01, 2014 at 12:00:00 PM","May 04, 2014 at 12:00:00 PM",Credit Card Fraud,"May 30, 2014 at 4:51:29 PM",625 UNIVERSITY PL,Delta Delta Delta,Closed
2014-00000871,Public Service,"May 30, 2014 at 6:27:00 PM","May 30, 2014 at 6:33:00 PM",,"May 30, 2014 at 6:28:59 PM",2311 CAMPUS DR,Sports & Aquatics Center,Closed
2014-00000873,Public Contact,"May 30, 2014 at 10:25:00 AM","May 30, 2014 at 10:40:00 AM",,"May 30, 2014 at 10:34:01 PM",1113 CLARK ST,,Closed
2014-00000874,Suspicious Circumstances,"May 31, 2014 at 12:10:00 AM","May 31, 2014 at 12:30:00 AM","Unlawful Use/Possession Drug Paraphernalia
Unlawful Possession of cannabis","May 31, 2014 at 12:10:51 AM",1835 HINMAN AVE,Hinman Dorm,Closed
2014-00000875,Service to Other Agency,"May 31, 2014 at 8:17:00 AM","May 31, 2014 at 8:28:00 AM",,"May 31, 2014 at 8:25:02 AM",910 SIMPSON ST,,Closed
2014-00000876,Service to Other Agency,"May 31, 2014 at 8:53:00 AM","May 31, 2014 at 8:58:00 AM",,"May 31, 2014 at 8:54:23 AM",2207 SHERMAN AVE,,Closed
2014-00000878,Service to Other Agency,"May 31, 2014 at 11:35:00 AM","May 31, 2014 at 11:45:00 AM",,"May 31, 2014 at 11:42:47 AM",SHERMAN AVE AND FOSTER ST,,Closed
2014-00000879,Service to Other Agency,"May 31, 2014 at 12:30:00 PM","May 31, 2014 at 12:50:00 PM",Noise Prohibition (Loud Continued),"May 31, 2014 at 12:46:42 PM",2147 SHERMAN AVE,,Closed
2014-00000880,Drunkeness,"May 31, 2014 at 1:12:00 PM","May 31, 2014 at 1:25:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 1:16:52 PM",1100 FOSTER ST,,Closed
2014-00000881,Service to Other Agency,"May 31, 2014 at 1:00:00 PM","May 31, 2014 at 1:20:00 PM",Noise Prohibition (Loud Continued),"May 31, 2014 at 1:26:16 PM",909 HAMLIN ST,,Closed
2014-00000882,Drunkeness,"May 31, 2014 at 1:48:00 PM","May 31, 2014 at 1:55:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 1:51:35 PM",1820 CHICAGO AVE,Allison Hall,Closed
2014-00000883,Service to Other Agency,"May 31, 2014 at 1:37:00 PM","May 31, 2014 at 1:37:00 PM",Noise Prohibition (Loud Continued),"May 31, 2014 at 1:52:41 PM",1129 FOSTER ST,,Closed
2014-00000884,Public Service,"May 31, 2014 at 1:52:00 PM","May 31, 2014 at 2:03:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 1:53:06 PM",650 EMERSON ST,North Mid-Quad,Referred
2014-00000886,Cannabis,"May 31, 2014 at 2:10:00 PM","May 31, 2014 at 2:10:00 PM",Unlawful Possession of cannabis,"May 31, 2014 at 2:10:00 PM",2301 CAMPUS DR,Lakefill,Closed
2014-00000889,Public Service,"May 31, 2014 at 2:00:00 PM","May 31, 2014 at 2:30:00 PM",,"May 31, 2014 at 2:37:59 PM",830 NOYES ST,,Closed
2014-00000891,Drunkeness,"May 31, 2014 at 3:01:00 PM","May 31, 2014 at 3:15:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 2:42:52 PM",2245 SHERIDAN RD,Sargent Hall,Closed
2014-00000893,Cannabis,"June 01, 2014 at 2:44:00 PM","June 01, 2014 at 3:00:00 PM",Possession of Cannabis 30 gm and Under,"May 31, 2014 at 2:50:47 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000895,Public Service,"May 31, 2014 at 3:00:00 PM","May 31, 2014 at 3:15:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 3:10:00 PM",2321 CAMPUS DR,,Referred
2014-00000898,Public Service,"May 31, 2014 at 3:22:00 PM","May 31, 2014 at 3:35:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 3:24:27 PM",1835 HINMAN AVE,Hinman Dorm,Referred
2014-00000900,Service to Other Agency,"May 31, 2014 at 3:15:00 PM","May 31, 2014 at 3:45:00 PM",Unlawful Possession of cannabis,"May 31, 2014 at 3:32:28 PM",1940 SHERMAN AVE,,Closed
2014-00000904,Public Service,"May 31, 2014 at 3:43:00 PM","May 31, 2014 at 4:00:00 PM",,"May 31, 2014 at 3:54:30 PM",2300 CAMPUS DR,,Closed
2014-00000906,Public Service,"May 31, 2014 at 4:05:00 PM","May 31, 2014 at 4:15:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 4:09:33 PM",2300 CAMPUS DR,,Closed
2014-00000908,Service to Other Agency,"May 31, 2014 at 2:00:00 PM","May 31, 2014 at 2:30:00 PM",Noise Prohibition (Loud Continued),"May 31, 2014 at 4:22:34 PM",832 SIMPSON ST,,Closed
2014-00000913,Public Contact,"May 31, 2014 at 4:18:00 PM","May 31, 2014 at 4:36:00 PM",,"May 31, 2014 at 4:35:51 PM",1927 ORRINGTON AVE,Foster/Walker,Referred
2014-00000914,Drunkeness,"May 31, 2014 at 4:34:00 PM","May 31, 2014 at 4:45:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 4:38:54 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000919,Public Service,"May 31, 2014 at 5:11:00 PM","May 31, 2014 at 5:30:00 PM",,"May 31, 2014 at 5:11:35 PM",2315 CAMPUS DR,,Closed
2014-00000918,Service to Other Agency,"May 31, 2014 at 4:40:00 PM","May 31, 2014 at 4:40:00 PM",Noise Prohibition (Loud Continued),"May 31, 2014 at 5:12:07 PM",1717 RIDGE AVE,,Closed
2014-00000921,Public Service,"May 31, 2014 at 6:05:00 PM","May 31, 2014 at 6:30:00 PM","Underage Possession of Alcohol-sale,gift delivery/purchase or posess","May 31, 2014 at 6:33:36 PM",2324 CAMPUS DR,Ayers,Closed
2014-00000922,Service to Other Agency,"May 31, 2014 at 6:10:00 PM","May 31, 2014 at 7:46:00 PM",,"May 31, 2014 at 6:33:45 PM",2301 CAMPUS DR,Lakefill,Closed
2014-00000923,Public Service,"May 31, 2014 at 6:45:00 PM","May 31, 2014 at 7:00:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 6:53:40 PM",2300 CAMPUS DR,,Closed
2014-00000924,Public Service,"May 31, 2014 at 7:30:00 PM","May 31, 2014 at 8:02:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 7:39:17 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000927,Drunkeness,"May 31, 2014 at 8:04:00 PM","May 31, 2014 at 8:20:00 PM",Drunkenness,"May 31, 2014 at 8:11:41 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000928,Public Service,"May 31, 2014 at 8:25:00 PM","May 31, 2014 at 8:50:00 PM","Underage Possession of Alcohol-sale,gift delivery/purchase or posess","May 31, 2014 at 8:39:42 PM",650 EMERSON ST,North Mid-Quad,Closed
2014-00000929,Public Service,"May 31, 2014 at 12:00:00 PM","May 31, 2014 at 8:43:00 PM",,"May 31, 2014 at 8:43:19 PM",1838 CHICAGO AVE,PARC Hall,Closed
2014-00000930,Public Service,"March 05, 2014 at 8:49:00 PM","May 31, 2014 at 9:05:00 PM",,"May 31, 2014 at 8:52:55 PM",2301 CAMPUS DR,Lakefill,Closed
2014-00000933,Service to Other Agency,"May 31, 2014 at 9:07:00 PM","May 31, 2014 at 9:07:00 PM",,"May 31, 2014 at 9:06:17 PM",2200 SHERMAN AVE,,Referred
2014-00000934,Public Service,"May 31, 2014 at 9:15:00 PM","May 31, 2014 at 9:40:00 PM",,"May 31, 2014 at 9:34:09 PM",2305 SHERIDAN RD,Bobb Hall,Closed
2014-00000936,Drunkeness,"May 31, 2014 at 9:59:00 PM","May 31, 2014 at 10:15:00 PM",,"May 31, 2014 at 9:59:23 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000937,Public Service,"May 31, 2014 at 10:10:00 PM","May 31, 2014 at 10:20:00 PM",,"May 31, 2014 at 10:17:56 PM",2300 CAMPUS DR,,Closed
2014-00000938,Public Contact,"May 31, 2014 at 11:02:00 PM","May 31, 2014 at 11:33:00 PM","Fraudulent ID
Illegal Consumption by Minor","May 31, 2014 at 11:14:56 PM",2245 SHERIDAN RD,Sargent Hall,Referred
2014-00000939,Drunkeness,"May 31, 2014 at 11:22:00 PM","May 31, 2014 at 11:34:00 PM",Illegal Consumption by Minor,"May 31, 2014 at 11:29:09 PM",GARRETT PL AND SHERIDAN RD,,Referred
2014-00000940,Service to Other Agency,"June 01, 2014 at 5:46:00 AM","June 01, 2014 at 6:00:00 AM",,"June 01, 2014 at 12:09:50 AM",2303 SHERIDAN RD,CCS,Closed
2014-00000941,Cannabis,"June 01, 2014 at 12:19:00 AM","June 01, 2014 at 12:50:00 AM","Possession of Drug Paraphernalia
Possession of Cannabis Prohibited","June 01, 2014 at 12:40:51 AM",1820 CHICAGO AVE,Allison Hall,Referred
2014-00000942,Missing person,"May 31, 2014 at 10:46:00 PM","June 01, 2014 at 1:35:00 AM",,"June 01, 2014 at 1:25:37 AM",2324 CAMPUS DR,Ayers,Closed
2014-00000943,Public Service,"June 01, 2014 at 12:45:00 AM","June 01, 2014 at 1:30:00 AM",Drunkenness,"June 01, 2014 at 1:30:34 AM",1900 CAMPUS DR,Center,Closed
2014-00000946,Property Lost,"May 31, 2014 at 3:00:00 PM","May 31, 2014 at 5:00:00 PM",,"June 01, 2014 at 11:57:25 AM",2301 CAMPUS DR,Lakefill,Closed
2014-00000947,Property Lost,"May 31, 2014 at 10:00:00 PM","May 31, 2014 at 10:30:00 PM",,"June 01, 2014 at 1:06:47 PM",2407 SHERIDAN RD,Patten Gym,Closed
2014-00000949,Public Service,"June 01, 2014 at 12:20:00 AM","June 01, 2014 at 12:45:00 AM",Illegal Consumption by Minor,"June 01, 2014 at 2:37:49 PM",1900 CAMPUS DR,Center,Closed
2014-00000951,Domestic Situation,"May 25, 2014 at 10:00:00 PM","May 25, 2014 at 10:00:00 PM",Domestic Battery,"June 01, 2014 at 3:49:00 PM",NA,,Closed
2014-00000955,Burglary,"May 31, 2014 at 11:00:00 PM","May 31, 2014 at 11:30:00 PM",Burglary from Motor Vehicle,"June 01, 2014 at 10:05:53 PM",1915 MAPLE AVE,Engelhart Hall,Open
2014-00000956,Hit and Run,"May 30, 2014 at 6:30:00 PM","June 01, 2014 at 11:00:00 PM",,"June 01, 2014 at 11:46:28 PM",1948 RIDGE AVE,F/M Storage,Closed
2014-00000957,False alarm activation,"June 02, 2014 at 6:09:00 AM","June 02, 2014 at 6:25:00 AM",,"June 02, 2014 at 6:29:23 AM",2220 CAMPUS DR,Cook Hall,Closed
2014-00000959,Traffic Arrest,"June 02, 2014 at 8:30:00 AM","June 02, 2014 at 9:03:00 AM","Passed School Bus-Loading or Unloading
No Driver's License","June 02, 2014 at 9:08:07 AM",EMERSON ST AND ORRINGTON AVE,,Closed
2014-00000960,Public Contact,"May 29, 2014 at 5:00:00 PM","May 30, 2014 at 12:45:00 PM",,"June 02, 2014 at 12:06:16 PM",1201 DAVIS ST,,Closed
2014-00000962,Damage property,"May 30, 2014 at 4:00:00 PM","May 30, 2014 at 4:01:00 PM",,"June 02, 2014 at 3:22:07 PM",800 EMERSON ST,,Closed
2014-00000965,Theft,"May 30, 2014 at 5:00:00 PM","May 31, 2014 at 3:00:00 PM",Theft $500 and Under,"June 02, 2014 at 4:34:26 PM",1835 HINMAN AVE,Hinman Dorm,Closed
2014-00000966,Lost & found prop,"May 30, 2014 at 8:00:00 PM","May 30, 2014 at 10:00:00 PM",,"June 02, 2014 at 5:00:48 PM",2100 CAMPUS DR,,Closed
2014-00000967,Public Service,"June 02, 2014 at 5:07:00 PM","June 02, 2014 at 6:55:00 PM",,"June 02, 2014 at 5:06:43 PM",633 EMERSON ST,Student Health,Closed
2014-00000969,Service to Other Agency,"June 03, 2014 at 6:50:00 AM","June 03, 2014 at 6:50:00 AM",,"June 03, 2014 at 7:16:38 AM",2400 SHERIDAN RD,Elder Hall,Closed
2014-00000970,Theft,"June 01, 2014 at 12:01:00 AM","June 01, 2014 at 11:59:00 PM",Theft $500 and Under,"June 03, 2014 at 8:19:00 AM",1870 SHERIDAN RD,Millar Chapel,Closed
2014-00000972,Public Contact,"June 03, 2014 at 6:27:00 AM","June 03, 2014 at 10:30:00 AM",,"June 03, 2014 at 10:06:18 AM",SHERIDAN RD AND CHICAGO AVE,,Closed
2014-00000973,Drunkeness,"June 03, 2014 at 8:22:00 PM","June 03, 2014 at 8:30:00 PM",Illegal Consumption by Minor,"June 03, 2014 at 8:22:22 PM",2305 SHERIDAN RD,Bobb Hall,Referred
2014-00000976,Theft,"June 03, 2014 at 4:00:00 PM","June 04, 2014 at 10:30:00 AM",Theft $500 and Under,"June 04, 2014 at 10:58:15 AM",1927 ORRINGTON AVE,Foster/Walker,Closed
2014-00000977,Theft,"May 04, 2014 at 12:00:00 PM","May 07, 2014 at 12:00:00 PM",Theft Over $500,"June 04, 2014 at 11:21:39 AM",1855 SHERIDAN RD,East Fairchild,Closed
2014-00000978,Theft,"May 31, 2014 at 12:00:00 PM","May 31, 2014 at 1:00:00 PM",Theft $500 and Under,"June 04, 2014 at 2:06:23 PM",2301 CAMPUS DR,Lakefill,Open
2014-00000979,Theft,"June 04, 2014 at 2:00:00 PM","June 04, 2014 at 5:00:00 PM",Theft $500 and Under,"June 04, 2014 at 6:05:17 PM",2000 SHERIDAN RD,Program on Women,Open
2014-00000981,Security Building,"June 04, 2014 at 11:18:00 PM","June 04, 2014 at 11:34:00 PM",,"June 04, 2014 at 11:21:00 PM",2220 CAMPUS DR,Cook Hall,Closed
2014-00000983,Drunkeness,"June 05, 2014 at 2:28:00 AM","June 05, 2014 at 3:00:00 AM","Illegal Consumption by Minor
Unlawful use of Identification card","June 05, 2014 at 2:28:55 AM",701 UNIVERSITY PL,Alpha Phi,Referred
2014-00000985,Hazardous condition,"June 05, 2014 at 9:40:00 AM","June 05, 2014 at 10:15:00 AM",,"June 05, 2014 at 9:50:04 AM",1999 CAMPUS DR,Norris Center,Closed
2014-00000987,Public Contact,"June 05, 2014 at 9:00:00 PM","June 05, 2014 at 9:15:00 PM",,"June 05, 2014 at 8:48:32 PM",2201 CAMPUS DR,Larc Drive,Closed
2014-00000988,Public Contact,"June 05, 2014 at 11:23:00 PM","June 05, 2014 at 11:30:00 PM",,"June 05, 2014 at 11:30:39 PM",2018 MAPLE AVE,,Closed
2014-00000989,Service to Other Agency,"June 06, 2014 at 1:08:00 AM","June 06, 2014 at 1:19:00 AM",Violation of the Illinois Vehicle Code,"June 06, 2014 at 1:08:28 AM",DODGE AVE AND SIMPSON ST,,Closed
2014-00000990,Service to Other Agency,"June 06, 2014 at 3:56:00 AM","June 06, 2014 at 4:06:00 AM",,"June 06, 2014 at 4:12:10 AM",2001 PRATT CT,,Closed
2014-00000991,Drunkeness,"June 06, 2014 at 4:08:00 AM","June 06, 2014 at 5:51:00 AM","Resist/Obstruct Police Officer
Fraudulent ID
Illegal Consumption by Minor","June 06, 2014 at 4:28:48 AM",2245 SHERIDAN RD,Sargent Hall,Referred
2014-00000993,Domestic Situation,"May 11, 2014 at 12:01:00 AM","May 11, 2014 at 11:59:00 PM",Domestic Battery,"June 06, 2014 at 8:57:00 AM",NA,,Closed
2014-00000994,Harassment,"January 20, 2014 at 12:01:00 AM","January 22, 2014 at 11:59:00 PM",Harrassment through electronic communications,"June 06, 2014 at 9:45:00 AM",NA,,Closed
2014-00000995,Theft,"May 31, 2014 at 8:00:00 PM","May 31, 2014 at 8:30:00 PM",Theft $500 and Under,"June 06, 2014 at 11:57:49 AM",2300 CAMPUS DR,,Closed
2014-00000998,Theft,"May 20, 2014 at 12:00:00 PM","May 25, 2014 at 5:00:00 PM",Theft Over $500,"June 06, 2014 at 5:43:45 PM",2001 SHERIDAN RD,Jacobs Center,Closed
2014-00000999,Lost & found prop,"June 06, 2014 at 5:45:00 PM","June 06, 2014 at 5:55:00 PM",,"June 06, 2014 at 6:02:25 PM",1201 DAVIS ST,,Closed
2014-00001000,Service to Other Agency,"June 06, 2014 at 6:35:00 PM","June 06, 2014 at 7:00:00 PM",Aggravated Battery,"June 06, 2014 at 6:35:59 PM",EMERSON ST AND ASBURY AVE,,Closed
2014-00001003,Burglary,"June 07, 2014 at 5:30:00 PM","June 08, 2014 at 11:45:00 AM",Burglary,"June 08, 2014 at 12:12:41 PM",2705 ASHLAND AVE,McGaw Hall,Open
2014-00001006,Public Service,"June 08, 2014 at 11:30:00 AM","June 08, 2014 at 11:35:00 AM",,"June 08, 2014 at 11:35:53 PM",1915 MAPLE AVE,Engelhart Hall,Closed
2014-00001007,Burglary,"June 06, 2014 at 3:30:00 PM","June 09, 2014 at 7:30:00 AM",Burglary,"June 09, 2014 at 8:44:57 AM",1999 CAMPUS DR,Norris Center,Open
2014-00001010,Drunkeness,"June 09, 2014 at 5:49:00 PM","June 09, 2014 at 6:03:00 PM",Illegal Consumption by Minor,"June 09, 2014 at 5:51:22 PM",2200 CAMPUS DR,Pancoe,Closed
2014-00001011,Missing person,"June 07, 2014 at 4:00:00 AM","June 09, 2014 at 8:57:00 PM",,"June 09, 2014 at 8:07:27 PM",NA,,Referred
2014-00001012,Public Service,"June 10, 2014 at 9:23:00 AM","June 10, 2014 at 9:30:00 AM",,"June 10, 2014 at 9:26:06 AM",2145 SHERIDAN RD,Technological Institute,Closed
2014-00001013,Service to Other Agency,"June 10, 2014 at 5:43:00 PM","June 10, 2014 at 5:55:00 PM",,"June 10, 2014 at 5:47:30 PM",SHERIDAN RD AND FOSTER ST,,Closed
2014-00001016,"Accident, bicycle","June 11, 2014 at 8:25:00 AM","June 11, 2014 at 8:25:00 AM",,"June 11, 2014 at 8:40:53 AM",1800 CAMPUS DR,,Closed
2014-00001017,Public Service,"June 11, 2014 at 11:09:00 AM","June 11, 2014 at 11:09:00 AM",,"June 11, 2014 at 11:21:22 AM",2311 CAMPUS DR,Sports & Aquatics Center,Closed
2014-00001018,Theft,"June 10, 2014 at 3:00:00 PM","June 11, 2014 at 11:30:00 AM",Theft $500 and Under,"June 11, 2014 at 12:29:56 PM",2400 SHERIDAN RD,Elder Hall,Closed
2014-00001019,Hit and Run,"June 11, 2014 at 10:15:00 AM","June 11, 2014 at 3:30:00 PM",Hit and Run,"June 11, 2014 at 5:20:42 PM",1847 CAMPUS DR,Parking Structure,Closed
2014-00001020,Theft,"June 11, 2014 at 4:20:00 PM","June 11, 2014 at 5:00:00 PM",Theft $500 and Under,"June 11, 2014 at 7:32:27 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00001022,Public Contact,"June 11, 2014 at 11:00:00 AM","June 12, 2014 at 8:30:00 AM",,"June 12, 2014 at 10:35:25 AM",1800 SHERMAN AVE,,Open
2014-00001024,Property Lost,"June 05, 2014 at 11:00:00 AM","June 11, 2014 at 2:00:00 PM",,"June 12, 2014 at 11:11:03 AM",NA,,Closed
2014-00001025,Theft,"June 11, 2014 at 2:30:00 PM","June 11, 2014 at 5:00:00 PM",Theft of Lost Property,"June 12, 2014 at 12:32:43 PM",1927 ORRINGTON AVE,Foster/Walker,Open
2014-00001026,Theft,"June 11, 2014 at 12:00:00 PM","June 11, 2014 at 3:00:00 PM",Theft Over $500,"June 12, 2014 at 2:12:49 PM",1861 SHERIDAN RD,West Fairchild,Open
2014-00001027,Theft,"June 07, 2014 at 1:00:00 PM","June 07, 2014 at 2:30:00 PM",Theft $500 and Under,"June 12, 2014 at 2:12:57 PM",2311 CAMPUS DR,Sports & Aquatics Center,Closed
2014-00001029,Public Service,"June 12, 2014 at 2:43:00 PM","June 12, 2014 at 4:00:00 PM",,"June 12, 2014 at 2:57:33 PM",829 FOSTER ST,,Closed
2014-00001031,Service to Other Agency,"June 12, 2014 at 6:58:00 PM","June 12, 2014 at 7:15:00 PM",,"June 12, 2014 at 6:58:56 PM",NA,,Closed
2014-00001036,Public Service,"June 13, 2014 at 3:46:00 PM","June 13, 2014 at 4:10:00 PM",,"June 13, 2014 at 3:46:56 PM",601 UNIVERSITY PL,Scott Hall,Closed
2014-00001037,Theft,"June 12, 2014 at 11:00:00 AM","June 13, 2014 at 2:00:00 AM",Theft Over $500,"June 13, 2014 at 4:54:29 PM",1861 SHERIDAN RD,West Fairchild,Open
2014-00001038,Theft,"June 13, 2014 at 1:30:00 AM","June 13, 2014 at 2:00:00 PM",Theft $500 and Under,"June 13, 2014 at 5:51:30 PM",1970 CAMPUS DR,University Library,Closed
2014-00001039,Property Lost,"June 13, 2014 at 5:30:00 PM","June 13, 2014 at 5:40:00 PM",,"June 13, 2014 at 6:17:48 PM",1937 CAMPUS DR,,Closed
2014-00001040,Disorderly Conduct,"June 14, 2014 at 1:25:00 AM","June 14, 2014 at 1:40:00 AM",,"June 14, 2014 at 1:25:01 AM",2245 SHERIDAN RD,Sargent Hall,Closed
2014-00001041,Public Contact,"June 14, 2014 at 2:11:00 AM","June 14, 2014 at 3:00:00 AM",,"June 14, 2014 at 2:11:30 AM",701 UNIVERSITY PL,Alpha Phi,Closed
2014-00001046,Service to Other Agency,"June 14, 2014 at 12:18:00 PM","June 14, 2014 at 12:30:00 PM",,"June 14, 2014 at 12:42:17 PM",531 LINCOLN ST,,Closed
2014-00001047,Theft,"June 14, 2014 at 9:30:00 AM","June 14, 2014 at 12:15:00 PM",Theft $500 and Under,"June 14, 2014 at 12:46:22 PM",2311 CAMPUS DR,Sports & Aquatics Center,Closed
2014-00001048,Public Service,"June 14, 2014 at 12:12:00 PM","June 14, 2014 at 12:58:00 PM",,"June 14, 2014 at 12:53:34 PM",1820 CHICAGO AVE,Allison Hall,Closed
2014-00001049,Public Service,"June 14, 2014 at 12:42:00 PM","June 14, 2014 at 1:00:00 PM",,"June 14, 2014 at 12:53:46 PM",721 UNIVERSITY PL,Evans Scholars,Closed
2014-00001050,Theft,"June 14, 2014 at 9:30:00 AM","June 14, 2014 at 12:15:00 PM",Theft $500 and Under,"June 14, 2014 at 1:23:08 PM",2311 CAMPUS DR,Sports & Aquatics Center,Open
2014-00001051,Theft,"June 14, 2014 at 2:45:00 PM","June 14, 2014 at 3:15:00 PM",Theft $500 and Under,"June 14, 2014 at 4:12:47 PM",1820 SHERIDAN RD,Arts Residential College,Open
2014-00001052,Property Lost,"June 14, 2014 at 2:00:00 PM","June 14, 2014 at 3:00:00 PM",,"June 14, 2014 at 6:07:38 PM",1927 ORRINGTON AVE,Foster/Walker,Open
2014-00001055,Security Building,"June 14, 2014 at 11:18:00 PM","June 15, 2014 at 12:01:00 AM",,"June 14, 2014 at 11:42:29 PM",1841 CAMPUS DR,,Closed
2014-00001056,Disorderly Conduct,"June 15, 2014 at 12:39:00 AM","June 15, 2014 at 1:00:00 AM",All  Disorderly Conduct,"June 15, 2014 at 12:39:34 AM",2313 SHERIDAN RD,Chi Psi,Referred
2014-00001057,Damage property,"May 30, 2014 at 9:00:00 AM","May 30, 2014 at 9:00:00 AM",,"June 15, 2014 at 6:45:09 AM",1201 DAVIS ST,,Closed
2014-00001059,Public Service,"June 15, 2014 at 4:23:00 PM","June 15, 2014 at 4:46:00 PM",,"June 15, 2014 at 4:24:18 PM",50 ARTS CIRCLE DR,Pick-Staiger,Closed
2014-00001060,Service to Other Agency,"June 15, 2014 at 4:46:00 PM","June 15, 2014 at 5:01:00 PM",,"June 15, 2014 at 4:45:40 PM",1800 SHERIDAN RD,John Evans Center,Closed
2014-00001061,Safety Hazard,"June 15, 2014 at 5:22:00 PM","June 15, 2014 at 5:55:00 PM",,"June 15, 2014 at 5:24:34 PM",2145 SHERIDAN RD,Technological Institute,Unfounded
2014-00001063,Harassment,"June 12, 2014 at 2:43:00 PM","June 16, 2014 at 10:29:00 AM",Harassment by Telephone,"June 16, 2014 at 10:56:00 AM",555 CLARK ST,University Relations,Open
